Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Citrus limon,,Lemon,Sitruuna,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,54040,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,,x -156.31  y -2.23,,"Widely cultivated across tropical and subtropical regions, the lemon is an important fruit crop valued for its vitamin-rich, acidic fruit, used fresh, in cooking, beverages, food preservation, and countless commercial products.","The fruit of Citrus limon is edible and used in food and drinks. The juice and pulp are eaten fresh or added to dishes, sauces, and beverages. The peel is also used in cooking, while the leaves can be used to make herbal tea.",,,"Lemon trees produce small white blossoms that appear in clusters before fruit forms. The flowers are visually appealing and attract pollinators, playing an important role in the development of lemons through successful pollination.",,"Lemon trees produce edible yellow fruits that grow after successful pollination of flowers. These fruits are oval shaped, sour, and rich in citric acid, making them widely used in cooking, drinks, and natural flavor enhancement.",,,,,,,,,,,y,,"Lemppareita kasvaa laajasti trooppisissa ja subtrooppisissa alueilla, ja lemmen on tärkeä hedelmäkasvi, joka arvostetaan sen vitamiinituotteista, happamasta hedelmästä, jota käytetään raakana, ruoanlaitossa, juomissa, ruoan säilöntässä ja lukuisissa kaupallisissa tuotteissa.","Citrus limonin hedelmän voi syödä ja käyttää ruoassa ja juomissa. Hedelmän maito ja kuori syödään raakana tai lisätään ruokiin, sahausiin ja juomiin. Kuorta käytetään myös ruoanlaitossa, kun taas lehtiä voidaan käyttää luonnonherbalistin tee valmistukseen.",,,"Lemppareiden tuottamat pienet valkoiset kukat ilmestyvät ryhmissä hedelmän muodostumista ennen. Kukat ovat visuaalisesti miellyttäviä ja vetävät hyönteisiä, ja ne ovat tärkeitä lemmen kehityksessä onnistuneen hedelmöityksen avulla.",,"Lemppareiden tuottamat syötävät keltaiset hedelmät kasvavat onnistuneen hedelmöityksen jälkeen. Hedelmät ovat munuaismuotoisia, happamia ja rikkaasti sitruunahappoa sisältäviä, ja ne ovat laajasti käytettyjä ruoanlaitossa, juomissa ja luonnollisessa mausteen lisäämisessä.",,,,,,,,,,,
Dracaena trifasciata ‘Laurentii’ (syn. Sansevieria trifasciata),,Snake plant ‘Laurentii’,anopinkieli ‘Laurentii’,#N/A,,,1,,,,,,,,,,,,"Upright, sword-like leaves are edged in yellow, and the sharp vertical lines create a strong contrast with softer foliage plants while clearly showing the plant’s water-saving design.",,,,,,,,,,,,,,,,,,,"Uroska, kaksineuvoisen lehtien kärki on keltainen, ja kärjen voimakas kontrasti pehmeiden kasvien kanssa näyttää kasvin vesitaloussuunnittelun.",,,,,,,,,
Dracaena trifasciata ‘Zeylanica’ (syn. Sansevieria trifasciata),,Snake plant ‘Zeylanica’,anopinkieli ‘Zeylanica’,#N/A,,,1,,,,,,,,,,,,"Darker banding runs across stiff upright leaves, and the muted pattern gives the plant a more restrained, graphic appearance than brightly edged cultivars.",,,,,,,,,,,,,,,,,,,"Raskas vyö on jyrkkien, pystyssä olevien lehtien yli, ja hiljainen malli antaa kasville vahvemman, graafisen ulkonäön kuin kirkkaasti reunustetuilla muunnelmilla.",,,,,,,,,
Duranta erecta,,Golden dewdrop,Duranta,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Decorative purple flowers and orange berries; berries are toxic to humans and pets.,,,,,,,,,,,,,,,,,,,Koristepunaiset violetit kukat ja oranssit hedelmät; hedelmät ovat myrkyllisiä ihmisille ja eläimille.,,,,
Citrus sinensis,,sweet orange,Appelsiini,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,,,1,,,,,"Citrus sinensis produces juicy, sweet fruits that are eaten fresh or processed into juice, marmalade, desserts, and many other foods. They are an excellent source of vitamin C and are enjoyed worldwide.",,,,,"Citrus sinensis, native to southern China and Southeast Asia, is cultivated for its round orange fruits that ripen in warm climates. Sweet oranges are among the world's most widely grown and consumed fruits.","Citrus sinensis originated in Asia and spread westward through trade before becoming established around the Mediterranean. During the 15th and 16th centuries, Portuguese traders introduced sweet oranges to Europe, where they quickly became prized luxury fruits. Today, they are one of the world's most important fruit crops.",,,,,,,,,,y,,,"Citrus sinensis tuottaa makeita, hedelmäisiä hedelmiä, jotka syödään raakana tai jalostetaan juustoksi, marmeladiksi, päärynöiksi ja moniin muihin ruokiin. Ne ovat erinomaisia C-vitamiinin lähteitä ja nautitaan ympäri maailmaa.",,,,,"Citrus sinensis on kotoisin eteläisestä Kiinasta ja Kaakkois-Aasiasta, ja se kasvatetaan sen kiertävien, pyöreiden oranssien hedelmien vuoksi. Makuoranssit ovat yksi maailman laajasti kasvatettavista ja kulutettavista hedelmistä.","Citrus sinensis alkoi Aasiassa ja levisi länteen kaupankäynnin kautta ennen kuin se vakiintui Välimeren ympäristöön. 1500- ja 1600-luvuilla portugalilaiset kauppiaat esittivät makuoranssit Eurooppaan, missä ne nopeasti muuttuivat arvostetuiksi ylellisiksi hedelmiksi. Nykyään ne ovat yksi maailman tärkeimmistä hedelmien viljelykasveista.",,,,,,,,,,
Coffea arabica 'Catuai Amarelo',,Arabian coffee plant,kahvipensas,G-HA 	TROOPPINEN HUONE,50448,G-HA 	TROOPPINEN HUONE,1,,x -133.70  y 6.57,,"Coffea arabica ‘Catuai Amarelo’ is a cultivated coffee crop grown in tropical regions. It is a selected Arabica variety bred for improved yield and adaptability, widely planted in specialty coffee production systems.","Coffea arabica ‘Catuai Amarelo’ produces coffee cherries with seeds that are processed into coffee beans. These beans are roasted and brewed into coffee, valued for a balanced flavour profile and high-quality specialty cup potential.",,"Coffea arabica ‘Catuai Amarelo’ is considered an exotic cultivated variety, originally derived from Ethiopian Arabica lines but selectively bred in Brazil. Its yellow cherries make it visually distinctive among coffee cultivars.",,,,"Coffea arabica originates from Ethiopia and was later spread globally through trade and cultivation. Modern varieties like ‘Catuai Amarelo’ were developed in Brazil to improve yield, disease resistance, and agricultural performance.",,,,,,,,,,y,,"Coffea arabica ‘Catuai Amarelo’ on tropiikissa kasvatettava kahvinviljelykasvi. Se on valittu Arabica-tyyppi, joka on kehitetty parantamaan tuottoa ja sopeutuvuutta, laajasti kasvatettu erikoisviljelyjärjestelmissä.","Coffea arabica ‘Catuai Amarelo’ tuottaa kahvinpähkinät, jotka on jalostettu kahvinpähkinöistä. Näitä pähkinöitä käytetään kahvin valmistukseen, joka arvostetaan tasapainuisesta makuvalikoimasta ja korkeatasoisesta erikoisjuustosta.",,"Coffea arabica ‘Catuai Amarelo’ on katsottu eksotiiseksi kasvatettavaksi muunnelmaksi, joka on alun perin peräisin eteläisen Arabian Arabica-tyypistä, mutta valikoitu Brazyliassa. Sen keltaiset hedelmät tekevät siitä visuaalisesti erottuvan kahvinviljelykasvin joukossa.",,,,"Coffea arabica on kotoisin Etiopiasta ja sitä on myöhemmin levitetty maailmanlaajuisesti kaupankäynnin ja viljelyksen kautta. Nykyiset muunnelmat kuten ‘Catuai Amarelo’ kehitettiin Brazyliassa parantamaan tuottoa, tauti-kestävyyttä ja maataloustuottoa.",,,,,,,,,,
Ephedra distachya subsp. helvetica,Ephedraceae,Ephedra,Efedrat,L-O 	LÃ„Ã„KEKASVI OSASTO,17354,L-O 	LÃ„Ã„KEKASVI OSASTO,1,"Shrubs of arid regions containing alkaloids such as ephedrine, used medicinally but potentially harmful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colocasia esculenta,,Taro,Taro,G-HA 	TROOPPINEN HUONE,10117,G-HA 	TROOPPINEN HUONE,1,,,,"Colocasia esculenta, commonly known as taro, is a tropical crop cultivated for its edible corms and leaves. It is widely grown in wet, irrigated fields in Asia and the Pacific, often in conditions similar to rice cultivation systems.","Colocasia esculenta produces a starchy edible corm and leaves that are consumed after proper cooking. The corm is used in soups, stews, and mash-like dishes, while the leaves are also eaten as a nutritious vegetable.",,,,,,"Colocasia esculenta has been cultivated for thousands of years in Asia and the Pacific as a staple food crop. It played a key role in traditional agriculture systems, especially in wetland farming and early irrigated cultivation methods.",,,,,,,"Colocasia esculenta is a warm-climate plant grown in tropical regions, often harvested after a full growing season in wet soils. Its growth is closely tied to water availability and warm temperatures rather than strict seasonal cycles.",,,y,,"Colocasia esculenta, jota kutsutaan yleisesti taroksi, on trooppinen viljelykasvi, jota kasvatetaan syötäviksi juuriksi ja lehdiksi. Se kasvatetaan laajasti kosteissa, päästävissä kentissä Aasiassa ja Tyynenmeren alueella, usein samanlaisten riisin viljelyjärjestelmien kanssa.","Colocasia esculenta tuottaa sokeripitoista syötävää juurikkaa ja lehtiä, jotka syödään oikein valmistettuna. Juurikkaa käytetään keittoihin, paistoihin ja pannukakkiin, kun taas lehtiä syödään myös ravitsemavaksi kasviksena.",,,,,,"Colocasia esculenta on ollut tuhansia vuosia kasvatettuna Aasiassa ja Tyynenmeren alueella pääasiallisena ruokakasvina. Se on ollut keskeinen osa perinteisiä maatalousjärjestelmiä, erityisesti kosteikkojen viljelyssä ja varhaisessa pelloilla olevassa viljelymenetelmässä.",,,,,,,"Colocasia esculenta on lämpimän ilmaston kasvi, jota kasvatetaan trooppisissa alueissa, usein koko kasvukauden jälkeen kosteissa maaperässä. Sen kasvu on tiukasti sidottu veden saatavuuteen ja lämpimään säähän eikä ole sidottu tiukkaan kausikyklyyn.",,,
Epipremnum aureum ‘Neon’,,Neon pothos,neonkultaköynnös,#N/A,,,1,,,,,,,,,,,,"The clear lime-green foliage glows in indoor light, and the uniform color gives the plant a bright, modern look that contrasts strongly with darker-leaved companions.",,,,,,,,,,,,,,,,,,,"Selkeä limemarinoitunut vihreä lehtimassa loistaa sisävalossa, ja yhtenäinen väri antaa kasvulle kirkas, nykyaikaisen ulkonäön, joka kontrastoi voimakkaasti tummemman lehtien kanssa.",,,,,,,,,
Erythrina spp.,,Coral tree,Korallipuu,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Bright red flowers and seed pods; seeds are toxic.,,,,,,,,,,,,,,,,,,,Vahva punainen kukka ja siitepöly; siemenet ovat myrkyllisiä.,,,,
Euonymus europaeus,,Spindle tree,Sukkapuu,P-B 	,27201,P-B 	,1,See under tags,,,,,,,,,,,,,,,,Bright pink fruits visually striking; toxic to humans.,,,,,,,,,,,,,,,,,,,Vahva pinkki hedelmä näyttää erittäin vaikuttavalta; on myrkyllistä ihmisille.,,,,
Euphorbia milii,,Crown of thorns,Piikkikruunu,G-HF 	SUKKULENTIT,914,G-HF 	SUKKULENTIT,1,See under tags,,,,,,,,,,,,,,,,"Attractive flowers and structure; sap causes strong irritation, toxic if ingested.",,,,,,,,,,,,,,,,,,,"Kaunis kukka ja rakenne; sapeli aiheuttaa voimakasta ärsytystä, myrkyllistä jos syödään.",,,,
Euphorbia pulcherrima,,Poinsettia,Joulutähti,G-HA 	TROOPPINEN HUONE,34949,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Festive appearance; sap irritates and ingestion affects pets.,,,,,,,,,,,,,,,,,,,Juhlapäivän näköinen; sapeli ärsyttää ja syöminen vaikuttaa eläimiin.,,,,
Euphorbia tirucalli,,Pencil cactus,Maitopensas,G-HF 	SUKKULENTIT,55632,G-HF 	SUKKULENTIT,1,See under tags,,,,,,,,,,,,,,,,Minimalist appearance; milky sap causes severe skin and eye irritation.,,,,,,,,,,,,,,,,,,,Minimalistinen ulkonäö; maitomainen sapeli aiheuttaa vakavaa iho- ja silmäärsytystä.,,,,
Ficus benjamina,,Weeping fig,Viikunapuu,G-HA 	TROOPPINEN HUONE,2491,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Common indoor tree; sap may cause irritation and mild pet toxicity.,,,,,,,,,,,,,,,,,,,Yleinen sisäpuutarha; sapeli voi aiheuttaa ärsytystä ja lievää eläinten myrkyllisyyttä.,,,,
Ficus carica,Moraceae,Common fig,Aitoviikuna,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,4299,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,"One of the oldest cultivated fruit trees, producing edible figs that develop inside a unique enclosed structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficus elastica,,Rubber plant,Kumiviikuna,G-HA 	TROOPPINEN HUONE,2489,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Glossy leaves suggest harmlessness; sap irritates skin and affects pets.,,,,,,,,,,,,,,,,,,,Kiiltävät lehdet eivät vakuuta haitallisuudesta; sapeli ärsyttää ihoa ja vaikuttaa eläimiin.,,,,
Columnea gloriosa,,goldfish plant,loistotuliköynnös,G-HA 	TROOPPINEN HUONE,9066,G-HA 	TROOPPINEN HUONE,1,,,,,,,,"Columnea gloriosa, known as the goldfish plant, produces bright orange-red tubular flowers that hang from trailing stems. The blooms resemble small fish and usually appear in warm, bright indoor conditions.",,,,"Columnea gloriosa is a tropical epiphyte from Central and South America. It is grown indoors for its cascading growth and unusual flower shape. It prefers warm, humid conditions and is often kept in hanging pots where its trailing stems can spread freely.",,,,,Contains calcium oxalate crystals; causes irritation in humans and pets.,,,,y,,,,,,"Columnea gloriosa, joka tunnetaan kultakala kasvina, tuottaa kirkkaan oranssinpunaisia tubulaarikukkia, jotka ojentuvat oksien päästä. Kukat muistuttavat pieniä kaloja ja ne ilmestyvät yleensä lämmintä ja kirkkaassa sisätilassa.",,,,"Columnea gloriosa on trooppinen epifyytti Keski- ja Etelä-Amerikasta. Se kasvatetaan sisällä sen kaskaisesta kasvusta ja epätavallisen kukkamallista. Se suosii lämpimiä, kosteita olosuhteita ja on usein pidetty riippuvissa pöydissä, jossa sen oksat voivat levitä vapaasti.",,,,,Sisältää kalsiumoksaalikiteitä; aiheuttaa ihmisille ja eläimille ärsytystä.,,,,
Fittonia albivenis,,Nerve plant,mosaiikkikasvi,#N/A,,,1,,,,,,,,,,,,"Brightly colored veins spread across the leaf like a map, and the high-contrast network makes even a small plant visually rich at close range.",,,,,,,,,,,,,,,,,,,"Värikkäät siipijalat levittyvät lehteen kartan tavoin, ja korkean kontrastin verkosto tekee pienestä kasvista visuaalisen rikkauden lähikuvassa.",,,,,,,,,
Commiphora harveyi,,Copper-stem Corkwood,mirhapuu,G-HF 	SUKKULENTIT,16816,G-HF 	SUKKULENTIT,1,,X: -158.80 Y: -10.43,"When the bark or branches are damaged, Commiphora harveyi releases a pleasantly aromatic resin. The resin has a woody, resinous, and slightly balsamic scent, a characteristic shared by many species in the Commiphora genus.",,,,,,,,,,,,,"Commiphora harveyi is well adapted to hot, arid climates, storing water within its trunk and branches to survive prolonged drought. This adaptation allows it to thrive where rainfall is limited and unpredictable.",,,,"Commiphora harveyi is distinguished by its smooth copper-colored bark, which peels away in delicate layers to reveal fresh bark beneath. This remarkable feature gives the tree its common name, Copper-stem Corkwood.",y,"Kun puun tai oksien pinta vahingoittuu, Commiphora harveyi vapauttaa mukavaa tuoksua sisältävän resinin. Resinissa on puun, resinin ja hieman balsamisen tuoksu, joka on monilla Commiphora-suvun lajeilla yhteinen piirre.",,,,,,,,,,,,,"Commiphora harveyi on hyvin sopeutunut kuumaan, kuivahkoon ilmastoon, varastoimalla vettä runkonsa ja oksien välityksellä pitääkseen kestävän kuivuuden. Tämä sopeutuminen sallii sen elävän alueilla, joilla sade on rajoittunut ja epävarma.",,,,"Commiphora harveyi on tunnistanut sen suomuinen kuparinvärisen kuoren, joka pehmeästi irtoaa hienoissa kerroksissa paljastaen uuden kuoren alla. Tämä erityinen piirre antaa puulle yleisen nimensä, kuparirunko-korkki.",
Conium maculatum,,Hemlock,Myrkkykatko,L-O 	LÃ„Ã„KEKASVI OSASTO,53403,L-O 	LÃ„Ã„KEKASVI OSASTO,1,,,,,,,,"Conium maculatum produces umbrella-shaped clusters of small white flowers in summer. These blooms attract insects for pollination, but all parts of the plant remain highly toxic throughout its life cycle.",,,"Conium maculatum is historically infamous as the plant used for the execution of the Greek philosopher Socrates in 399 BCE, when he was sentenced to death by drinking a preparation containing hemlock. Beyond this, it has appeared in ancient Greek and Roman writings as a known poison used for both legal executions and assassinations. Throughout history, it has also been studied by physicians and botanists for its powerful and dangerous alkaloids, influencing early toxicology and herbal medicine studies.",,"Conium maculatum contains powerful neurotoxic alkaloids that disrupt the nervous system, leading to paralysis and death if ingested. It has been studied in toxicology and historically used in controlled poison preparations due to its potency.",,,,"Conium maculatum is extremely dangerous, as even small amounts can be lethal if consumed. Its toxicity and resemblance to harmless wild plants make it especially hazardous in natural environments and accidental foraging situations.",,,,y,,,,,,"Conium maculatum tuottaa kesäisin pieniä valkoisia kukkia, jotka muodostavat kantapalloa muistuttavan ryhmän. Kukkien tuottaminen houkuttelee hyönteisiä siitepölyn levittämiseen, mutta kasvin kaikki osat pysyvät korkean myrkyllisinä koko kasvuvaiheensa ajan.",,,"Conium maculatum on historiallisesti kuuluisa siitä, että se oli käytössä filosofi Sokrateen teloituksessa vuonna 399 eaa., kun häneltä määrättiin kuolemaan juomaan hemlokki sisältävää valmistetta. Lisäksi se on esiintynyt antiikin kreikkalaisissa ja roomalaisissa kirjoituksissa tunnettuna myrkynä, jota käytettiin laillisten teloituksien ja salamurhien yhteydessä. Kasvi on myös tutkittu lääkäreiden ja kasvitieteilijöiden keskuudessa sen voimakkaan ja vaarallisen alkaloidin vaikutuksesta, vaikuttamalla varhaisiin myrkkytiede- ja lääkekasvitieteeseen tutkimuksiin.",,"Conium maculatum sisältää voimakastaan neurotoksisia alkaloideja, jotka häiritsevät hermostoa, johtuen kauhuaan ja kuolemaan, jos ne syödään. Se on tutkittu myrkkytieteessä ja on historiallisesti käytetty kontrolloiduissa myrkkyvalmisteissa sen voimakkuuden vuoksi.",,,,"Conium maculatum on erittäin vaarallinen, koska pienimmätkin määrät voivat olla hengenvaarallisia, jos ne syödään. Sen myrkyllisyys ja muistuttavuus haitallisista villakasveista tekevät siitä erityisen vaarallisen luonnontieteellisissä ympäristöissä ja sattumanvaraisissa kasviksittelytilanteissa.",,,,
